curs,any,nom_estudis,nom_ensenyament,nivell,alumnes,alumnes_dones,alumnes_homes,unitats,n_centres
2015/2016,2015,EDUCACIÓ ESPECIAL,PROGRAMA DE FORMACIÓ PER A LA TRANSICIÓ A LA VIDA ADULTA,NA,577,231,346,0,32
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: LLAR D'INFANTS,0,6736,3233,3503,1094,1199
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: LLAR D'INFANTS,1,29264,13958,15306,2548,1615
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: LLAR D'INFANTS,2,42998,20659,22339,2685,1629
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: PARVULARI,3,73259,35850,37409,3257,2284
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: PARVULARI,4,76425,37454,38971,3195,2281
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: PARVULARI,5,79074,38268,40806,3490,2292
2015/2016,2015,EDUCACIÓ INFANTIL,EDUCACIÓ INFANTIL: PARVULARI,NA,2448,1251,1197,0,15
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,1,80841,38953,41888,3401,2276
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,2,84240,41147,43093,3621,2285
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,3,80383,39136,41247,3514,2285
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,4,79973,38920,41053,3498,2269
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,5,78770,38332,40438,3355,2259
2015/2016,2015,EDUCACIÓ PRIMÀRIA,EDUCACIÓ PRIMÀRIA,6,77456,37874,39582,3593,2240
